x,y
0.947,4.09127
0.948,4.09219
0.949,4.0931
0.95,4.094
0.951,4.09489
0.952,4.09579
0.953,4.09667
0.954,4.09755
0.955,4.09843
0.956,4.09929
0.957,4.10016
0.958,4.10102
0.959,4.10187
0.96,4.10272
0.961,4.10356
0.962,4.10439
0.963,4.10522
0.964,4.10605
0.965,4.10687
0.966,4.10768
0.967,4.10849
0.968,4.1093
0.969,4.11009
0.97,4.11089
0.971,4.11167
0.972,4.11245
0.973,4.11323
0.974,4.114
0.975,4.11476
0.976,4.11552
0.977,4.11628
0.978,4.11703
0.979,4.11777
0.98,4.11851
0.981,4.11924
0.982,4.11996
0.983,4.12068
0.984,4.1214
0.985,4.12211
0.986,4.12281
0.987,4.12351
0.988,4.12421
0.989,4.1249
0.99,4.12558
0.991,4.12626
0.992,4.12693
0.993,4.12759
0.994,4.12825
0.995,4.12891
0.996,4.12956
0.997,4.1302
0.998,4.13084
0.999,4.13148
1,4.13211
1.001,4.13273
1.002,4.13335
1.003,4.13396
1.004,4.13456
1.005,4.13516
1.006,4.13576
1.007,4.13635
1.008,4.13693
1.009,4.13751
1.01,4.13809
1.011,4.13866
1.012,4.13922
1.013,4.13978
1.014,4.14033
1.015,4.14088
1.016,4.14142
1.017,4.14195
1.018,4.14248
1.019,4.14301
1.02,4.14353
1.021,4.14404
1.022,4.14455
1.023,4.14505
1.024,4.14555
1.025,4.14604
1.026,4.14653
1.027,4.14701
1.028,4.14749
1.029,4.14796
1.03,4.14843
1.031,4.14889
1.032,4.14934
1.033,4.14979
1.034,4.15024
1.035,4.15067
1.036,4.15111
1.037,4.15153
1.038,4.15196
1.039,4.15237
1.04,4.15279
1.041,4.15319
1.042,4.15359
1.043,4.15399
1.044,4.15438
1.045,4.15476
1.046,4.15514
1.047,4.15552
1.048,4.15589
1.049,4.15625
1.05,4.15661
1.051,4.15696
1.052,4.15731
1.053,4.15765
1.054,4.15799
1.055,4.15832
1.056,4.15865
1.057,4.15897
1.058,4.15928
1.059,4.15959
1.06,4.1599
1.061,4.1602
1.062,4.16049
1.063,4.16078
1.064,4.16106
1.065,4.16134
1.066,4.16161
1.067,4.16188
1.068,4.16214
1.069,4.1624
1.07,4.16265
1.071,4.1629
1.072,4.16314
1.073,4.16338
1.074,4.16361
1.075,4.16383
1.076,4.16405
1.077,4.16427
1.078,4.16448
1.079,4.16468
1.08,4.16488
1.081,4.16507
1.082,4.16526
1.083,4.16545
1.084,4.16562
1.085,4.1658
1.086,4.16596
1.087,4.16612
1.088,4.16628
1.089,4.16643
1.09,4.16658
1.091,4.16672
1.092,4.16686
1.093,4.16699
1.094,4.16711
1.095,4.16723
1.096,4.16735
1.097,4.16746
1.098,4.16756
1.099,4.16766
1.1,4.16776
1.101,4.16784
1.102,4.16793
1.103,4.16801
1.104,4.16808
1.105,4.16815
1.106,4.16821
1.107,4.16827
1.108,4.16832
1.109,4.16837
1.11,4.16841
1.111,4.16845
1.112,4.16848
1.113,4.16851
1.114,4.16853
1.115,4.16854
1.116,4.16855
1.117,4.16856
1.118,4.16856
1.119,4.16856
1.12,4.16855
1.121,4.16853
1.122,4.16851
1.123,4.16849
1.124,4.16846
1.125,4.16842
1.126,4.16838
1.127,4.16834
1.128,4.16829
1.129,4.16823
1.13,4.16817
1.131,4.1681
1.132,4.16803
1.133,4.16796
1.134,4.16788
1.135,4.16779
1.136,4.1677
1.137,4.1676
1.138,4.1675
1.139,4.16739
1.14,4.16728
1.141,4.16717
1.142,4.16704
1.143,4.16692
1.144,4.16679
1.145,4.16665
1.146,4.16651
1.147,4.16636
1.148,4.16621
1.149,4.16605
1.15,4.16589
1.151,4.16572
1.152,4.16555
1.153,4.16537
1.154,4.16519
1.155,4.165
1.156,4.16481
1.157,4.16461
1.158,4.16441
1.159,4.16421
1.16,4.16399
1.161,4.16378
1.162,4.16355
1.163,4.16333
1.164,4.1631
1.165,4.16286
1.166,4.16262
1.167,4.16237
1.168,4.16212
1.169,4.16186
1.17,4.1616
1.171,4.16133
1.172,4.16106
1.173,4.16079
1.174,4.1605
1.175,4.16022
1.176,4.15993
1.177,4.15963
1.178,4.15933
1.179,4.15902
1.18,4.15871
1.181,4.1584
1.182,4.15808
1.183,4.15775
1.184,4.15742
1.185,4.15709
1.186,4.15675
1.187,4.1564
1.188,4.15605
1.189,4.1557
1.19,4.15534
1.191,4.15497
1.192,4.1546
1.193,4.15423
1.194,4.15385
1.195,4.15347
1.196,4.15308
1.197,4.15269
1.198,4.15229
1.199,4.15188
1.2,4.15148
1.201,4.15106
1.202,4.15065
1.203,4.15023
1.204,4.1498
1.205,4.14937
1.206,4.14893
1.207,4.14849
1.208,4.14804
1.209,4.14759
1.21,4.14714
1.211,4.14668
1.212,4.14621
1.213,4.14574
1.214,4.14527
1.215,4.14479
1.216,4.14431
1.217,4.14382
1.218,4.14333
1.219,4.14283
1.22,4.14233
1.221,4.14182
1.222,4.14131
1.223,4.14079
1.224,4.14027
1.225,4.13975
1.226,4.13922
1.227,4.13868
1.228,4.13814
1.229,4.1376
1.23,4.13705
1.231,4.13649
1.232,4.13594
1.233,4.13537
1.234,4.13481
1.235,4.13424
1.236,4.13366
1.237,4.13308
1.238,4.13249
1.239,4.1319
1.24,4.13131
1.241,4.13071
1.242,4.1301
1.243,4.1295
1.244,4.12888
1.245,4.12827
1.246,4.12764
1.247,4.12702
1.248,4.12639
1.249,4.12575
1.25,4.12511
1.251,4.12447
1.252,4.12382
1.253,4.12316
1.254,4.12251
1.255,4.12184
1.256,4.12118
1.257,4.12051
1.258,4.11983
1.259,4.11915
1.26,4.11847
1.261,4.11778
1.262,4.11708
1.263,4.11638
1.264,4.11568
1.265,4.11498
1.266,4.11426
1.267,4.11355
1.268,4.11283
1.269,4.11211
1.27,4.11138
1.271,4.11064
1.272,4.10991
1.273,4.10916
1.274,4.10842
1.275,4.10767
1.276,4.10691
1.277,4.10615
1.278,4.10539
1.279,4.10462
1.28,4.10385
1.281,4.10308
1.282,4.1023
1.283,4.10151
1.284,4.10072
1.285,4.09993
1.286,4.09913
1.287,4.09833
1.288,4.09752
1.289,4.09671
1.29,4.0959
1.291,4.09508
1.292,4.09426
1.293,4.09343
1.294,4.0926
1.295,4.09176
1.296,4.09092
1.297,4.09008
1.298,4.08923
1.299,4.08838
1.3,4.08752
1.301,4.08666
1.302,4.0858
1.303,4.08493
1.304,4.08406
1.305,4.08318
1.306,4.0823
1.307,4.08141
1.308,4.08052
1.309,4.07963
1.31,4.07873
1.311,4.07783
1.312,4.07692
1.313,4.07602
1.314,4.0751
1.315,4.07418
1.316,4.07326
1.317,4.07234
1.318,4.07141
1.319,4.07047
1.32,4.06953
1.321,4.06859
1.322,4.06765
1.323,4.0667
1.324,4.06574
1.325,4.06479
1.326,4.06382
1.327,4.06286
1.328,4.06189
1.329,4.06092
1.33,4.05994
1.331,4.05896
1.332,4.05797
1.333,4.05698
1.334,4.05599
1.335,4.05499
1.336,4.05399
1.337,4.05299
1.338,4.05198
1.339,4.05097
1.34,4.04995
1.341,4.04893
1.342,4.04791
1.343,4.04688
1.344,4.04585
1.345,4.04481
1.346,4.04377
1.347,4.04273
1.348,4.04169
1.349,4.04064
1.35,4.03958
1.351,4.03852
1.352,4.03746
1.353,4.0364
1.354,4.03533
1.355,4.03426
1.356,4.03318
1.357,4.0321
1.358,4.03102
1.359,4.02993
1.36,4.02884
1.361,4.02774
1.362,4.02664
1.363,4.02554
1.364,4.02444
1.365,4.02333
1.366,4.02221
1.367,4.0211
1.368,4.01998
1.369,4.01885
1.37,4.01773
1.371,4.0166
1.372,4.01546
1.373,4.01432
1.374,4.01318
1.375,4.01204
1.376,4.01089
1.377,4.00974
1.378,4.00858
1.379,4.00742
1.38,4.00626
1.381,4.0051
1.382,4.00393
1.383,4.00275
1.384,4.00158
1.385,4.0004
1.386,3.99921
1.387,3.99803
1.388,3.99684
1.389,3.99564
1.39,3.99445
1.391,3.99325
1.392,3.99204
1.393,3.99084
1.394,3.98963
1.395,3.98841
1.396,3.9872
1.397,3.98598
1.398,3.98475
1.399,3.98353
1.4,3.9823
1.401,3.98106
1.402,3.97983
1.403,3.97859
1.404,3.97734
1.405,3.9761
1.406,3.97485
1.407,3.97359
1.408,3.97234
1.409,3.97108
1.41,3.96982
1.411,3.96855
1.412,3.96728
1.413,3.96601
1.414,3.96474
1.415,3.96346
1.416,3.96218
1.417,3.96089
1.418,3.9596
1.419,3.95831
1.42,3.95702
1.421,3.95572
1.422,3.95442
1.423,3.95312
1.424,3.95181
1.425,3.9505
1.426,3.94919
1.427,3.94788
1.428,3.94656
1.429,3.94524
1.43,3.94391
1.431,3.94259
1.432,3.94125
1.433,3.93992
1.434,3.93859
1.435,3.93725
1.436,3.9359
1.437,3.93456
1.438,3.93321
1.439,3.93186
1.44,3.93051
1.441,3.92915
1.442,3.92779
1.443,3.92643
1.444,3.92506
1.445,3.9237
1.446,3.92233
1.447,3.92095
1.448,3.91958
1.449,3.9182
1.45,3.91681
1.451,3.91543
1.452,3.91404
1.453,3.91265
1.454,3.91126
1.455,3.90986
1.456,3.90846
1.457,3.90706
1.458,3.90566
1.459,3.90425
1.46,3.90284
1.461,3.90143
1.462,3.90002
1.463,3.8986
1.464,3.89718
1.465,3.89576
1.466,3.89433
1.467,3.8929
1.468,3.89147
1.469,3.89004
1.47,3.88861
1.471,3.88717
1.472,3.88573
1.473,3.88428
1.474,3.88284
1.475,3.88139
1.476,3.87994
1.477,3.87849
1.478,3.87703
1.479,3.87557
1.48,3.87411
1.481,3.87265
1.482,3.87119
1.483,3.86972
1.484,3.86825
1.485,3.86677
1.486,3.8653
1.487,3.86382
1.488,3.86234
1.489,3.86086
1.49,3.85938
1.491,3.85789
1.492,3.8564
1.493,3.85491
1.494,3.85342
1.495,3.85192
1.496,3.85042
1.497,3.84892
1.498,3.84742
1.499,3.84591
1.5,3.84441
1.501,3.8429
1.502,3.84138
1.503,3.83987
1.504,3.83835
1.505,3.83684
1.506,3.83532
1.507,3.83379
1.508,3.83227
1.509,3.83074
1.51,3.82921
1.511,3.82768
1.512,3.82615
1.513,3.82461
1.514,3.82308
1.515,3.82154
1.516,3.82
1.517,3.81845
1.518,3.81691
1.519,3.81536
1.52,3.81381
1.521,3.81226
1.522,3.8107
1.523,3.80915
1.524,3.80759
1.525,3.80603
1.526,3.80447
1.527,3.80291
1.528,3.80134
1.529,3.79978
1.53,3.79821
1.531,3.79664
1.532,3.79507
1.533,3.79349
1.534,3.79191
1.535,3.79034
1.536,3.78876
1.537,3.78718
1.538,3.78559
1.539,3.78401
1.54,3.78242
1.541,3.78083
1.542,3.77924
1.543,3.77765
1.544,3.77606
1.545,3.77446
1.546,3.77286
1.547,3.77126
1.548,3.76966
1.549,3.76806
1.55,3.76646
1.551,3.76485
1.552,3.76325
1.553,3.76164
1.554,3.76003
1.555,3.75842
